Timestamp,Timezone Offset,775.maxbotix-mb7386-distance
30/10/2019 15:33,+01:00,2009
30/10/2019 15:43,+01:00,2012
30/10/2019 15:53,+01:00,2014
30/10/2019 16:13,+01:00,2016
30/10/2019 16:23,+01:00,2015
30/10/2019 16:33,+01:00,2017
30/10/2019 16:43,+01:00,2020
30/10/2019 16:53,+01:00,2028
30/10/2019 17:03,+01:00,2024
30/10/2019 17:13,+01:00,2018
30/10/2019 17:23,+01:00,2020
30/10/2019 17:33,+01:00,2024
30/10/2019 17:53,+01:00,2020
30/10/2019 18:03,+01:00,2020
30/10/2019 18:13,+01:00,2027
30/10/2019 18:23,+01:00,2020
30/10/2019 18:33,+01:00,2020
30/10/2019 18:43,+01:00,2036
30/10/2019 18:53,+01:00,2022
30/10/2019 19:03,+01:00,2015
30/10/2019 19:13,+01:00,2017
30/10/2019 19:23,+01:00,2019
30/10/2019 19:33,+01:00,2027
30/10/2019 19:43,+01:00,2024
30/10/2019 19:53,+01:00,2021
30/10/2019 20:03,+01:00,2023
30/10/2019 20:13,+01:00,2031
30/10/2019 20:23,+01:00,2024
30/10/2019 20:33,+01:00,2024
30/10/2019 20:43,+01:00,2020
30/10/2019 20:53,+01:00,2023
30/10/2019 21:03,+01:00,2022
30/10/2019 21:13,+01:00,2027
30/10/2019 21:23,+01:00,2024
30/10/2019 21:33,+01:00,2029
30/10/2019 21:43,+01:00,2024
30/10/2019 21:53,+01:00,2019
30/10/2019 22:03,+01:00,2015
30/10/2019 22:13,+01:00,2024
30/10/2019 22:23,+01:00,2021
30/10/2019 22:33,+01:00,2020
30/10/2019 22:43,+01:00,2023
30/10/2019 22:53,+01:00,2016
30/10/2019 23:03,+01:00,2027
30/10/2019 23:13,+01:00,2021
30/10/2019 23:23,+01:00,2024
30/10/2019 23:33,+01:00,2026
30/10/2019 23:43,+01:00,2023
30/10/2019 23:53,+01:00,2027
31/10/2019 00:03,+01:00,2021
31/10/2019 00:13,+01:00,2029
31/10/2019 00:23,+01:00,2021
31/10/2019 00:33,+01:00,2028
31/10/2019 00:43,+01:00,2030
31/10/2019 00:53,+01:00,2024
31/10/2019 01:03,+01:00,2026
